2018-09-03 17:18:54 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:25:20 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:25:21 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:25:21 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:25:22 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:34:40 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:34:42 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:34:44 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:34:53 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:00 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:09 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:10 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:11 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:13 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:14 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:15 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:15 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:16 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:16 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:16 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:20 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:23 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:35:25 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:35:27 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:36:47 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:36:58 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:37:04 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:37:05 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:37:07 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:37:08 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:37:10 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:37:13 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:37:14 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:37:15 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:37:18 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:37:19 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:37:22 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:38:55 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:38:58 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:40:12 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:40:13 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:40:17 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:40:18 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:40:20 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:40:22 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:40:24 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:40:26 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:40:56 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:40:58 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:45:33 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:45:34 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:45:35 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:45:36 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:45:37 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:45:38 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:45:39 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
